x,y,score
131017.59895,480136.53514,2
131042.29953,480104.15705,6
131048.92803,480076.18644,2
131032.53954,480071.33947,2
131033.25261,480079.86890,2
131791.35005,479164.09378,2
131806.39923,479184.92204,2
131808.17735,479199.98381,4
131124.88615,479308.54070,2
131333.78730,479061.47517,4
131334.19517,479026.54464,4
131175.87796,479264.67925,2
131204.66418,479234.40782,2
131279.29121,479191.68608,2
131262.93970,479211.70366,2
131243.92541,479212.98719,2
131231.09571,479225.25385,2
131312.78770,479157.50599,2
131315.59779,479115.12388,4
131523.55101,478964.83422,6
131477.45543,478997.26259,2
131502.59806,478982.45681,4
131483.45332,478978.56911,2
131488.49572,478976.60118,2
131670.40923,479031.70693,4
131592.10496,478995.72853,4
131609.66500,478988.63244,2
131614.68524,478996.78461,2
121277.67992,483422.10602,4
120876.33710,485752.43984,2
120871.94024,485679.95069,4
120891.90321,486019.43793,2
120902.34909,486048.69228,2
120874.56661,486066.02015,2
120842.61733,486077.22600,2
120849.16089,486085.97031,4
120818.93779,486096.39949,2
120804.59207,486120.75096,2
120897.56580,485908.19286,2
120887.35210,485886.09053,2
121163.61213,485705.22372,6
120967.46401,485863.02769,4
120996.58326,485819.54568,4
121013.22185,485808.95590,4
121045.43857,485769.71090,4
121082.96384,485739.22893,2
121090.61232,485720.67429,8
121035.25308,484170.90923,4
120924.17110,484180.68302,2
120866.18422,484186.32396,4
121124.40753,485096.95009,2
121237.19581,485102.67733,6
121256.89869,485107.13842,8
121199.18876,485078.11603,2
121202.73961,485077.71859,8
121171.81141,485106.98501,2
121186.45021,485110.14127,2
121186.15642,485116.54491,2
121220.35309,484890.46647,10
121218.57449,484910.95369,10
121214.24329,484935.83063,10
121212.59840,484958.18180,12
121221.21934,484967.08655,2
121220.64608,484963.71496,9
121224.90557,485033.50706,2
121220.57847,485032.49113,13
121207.74575,485006.82591,2
121214.58205,485005.70486,6
121215.82924,485012.09098,2
121209.02478,485016.55523,2
121213.77163,485016.00127,14
121213.34531,484982.26774,10
121223.32380,484995.16118,3
121221.72139,484988.80238,11
121221.59143,484614.78645,6
121241.90247,484869.32199,8
121229.21577,484743.68411,2
121222.40482,484860.65519,6
121239.07981,484845.69592,2
121223.43374,484842.69662,4
121233.29596,484784.23977,2
121217.65986,484781.06363,4
121231.50969,484763.60655,4
121205.23535,484771.28257,2
121216.26158,484764.90744,4
121235.26139,484804.01525,2
121219.73765,484803.39847,6
121236.97935,484825.16545,2
121221.50894,484822.65375,6
121212.87012,484725.87660,2
121211.08968,484703.85251,2
121220.63021,484641.18052,4
121205.63421,484643.59378,4
121209.00477,484683.06150,6
121222.32931,484662.60566,4
121206.03675,484662.94611,2
121207.54049,484666.29291,4
121213.07118,484560.50437,10
121218.96312,484581.26071,4
121181.29858,484497.31460,2
121208.35120,484508.89964,4
121210.26983,484530.30066,4
121214.22036,484450.16762,6
121169.52646,484449.01195,2
121167.03629,484454.29564,6
121284.38713,484490.44295,4
121280.89430,484490.40776,4
121266.99676,484446.91035,2
121260.48101,484445.99744,8
120871.47976,484511.69129,2
120891.43620,484513.34866,4
120974.46415,484471.90777,9
120994.16340,484516.26739,2
120990.84381,484515.82472,6
121067.87503,484507.94090,4
121035.73537,484466.19901,8
120840.11176,484843.63515,2
120842.14441,484873.75506,2
120842.31861,484898.63229,2
120842.77980,484942.48303,2
120842.48536,484923.11481,2
120855.95361,484931.54194,4
120854.78236,484794.71712,2
120821.67180,484788.37676,2
120856.98903,485076.71511,2
120857.47061,485096.30990,4
120862.44033,485138.30049,4
120870.73838,485165.73499,4
121134.52125,485337.02605,9
121132.30239,485345.76219,6
121067.13020,485326.55834,8
121070.11968,485318.97893,10
121084.05616,485321.83936,10
121078.82308,485333.62567,2
121081.51905,485330.18665,8
120932.69180,485313.34787,12
120971.38367,485321.53410,2
120974.91206,485313.54607,2
120972.28522,485313.07443,10
121008.70937,485310.13848,12
121019.18762,485300.67688,2
121021.02354,485302.52872,8
120877.09820,485230.75051,4
120877.56960,485285.10173,2
120862.51811,485295.99078,2
118554.68581,484493.17897,2
118663.98683,484604.03195,2
118679.17325,484597.98702,2
118682.35035,484595.08600,2
118688.88600,484607.88252,2
118695.15771,484622.21727,2
118706.30966,484610.94093,2
118697.99990,484616.63237,2
118700.98854,484613.49149,2
118721.36015,484639.21998,2
118735.82682,484661.93366,2
118741.57691,484660.24656,2
118754.57714,484682.17429,2
118772.34870,484692.30029,2
118640.79673,484581.73137,2
118596.58425,484531.58314,2
118618.82960,484559.46279,2
118610.54515,484545.70917,2
118367.34367,484910.12465,2
118429.15402,485440.65702,6
118419.60139,485416.95394,2
118412.01175,485432.43573,2
118412.87391,485341.43897,2
118420.11696,485332.64915,2
118429.50496,485333.32872,4
118407.13230,485375.03761,2
118419.78937,485376.74214,2
118429.50617,485283.46563,2
118407.47375,485280.47673,2
118405.71800,485290.96432,2
118429.38666,485200.97856,4
118420.44610,485187.99145,4
118429.29994,485235.16610,2
118412.74893,485240.00228,2
118406.02420,485236.40667,2
118414.30902,485494.63864,2
118429.35369,485501.76058,3
118428.81751,485552.27228,3
118412.96064,485609.82815,2
118428.44411,485600.56072,6
118430.24823,485127.25240,2
118420.79340,485065.76448,2
118430.36696,485068.32391,4
118430.43199,485006.64014,4
118419.99340,485009.56008,4
118504.42811,486388.29897,2
118494.50861,486397.38509,2
118503.32649,486397.18392,4
118080.08739,486972.21890,3
118450.20670,486946.28076,2
118442.12908,486975.81985,2
123110.64792,493893.35507,2
123024.59811,493894.70852,2
123021.32090,493898.90320,2
123083.08535,493890.95292,2
123080.05616,493895.29194,2
123055.98435,493892.61909,2
123050.53809,493896.99399,2
124053.50421,490432.24838,2
123907.08029,490532.66339,2
123968.49259,490506.67141,2
123994.96939,490485.61905,4
121326.37902,483549.77829,2
121309.79626,483550.99322,2
121307.36591,483543.45068,2
121336.92197,484484.75700,4
121313.21583,484441.36478,6
121859.30104,484437.48508,4
121677.71905,484406.53426,2
121680.99127,484408.61890,6
121788.23151,484444.51684,6
121918.59229,484432.17247,4
121773.72691,484398.72715,2
121778.09695,484399.66227,4
121871.38781,484390.82613,4
121896.65979,484388.58760,4
121921.02388,484386.81718,4
121816.04287,484395.79033,2
121842.32988,484393.49995,4
121985.67978,484418.10324,6
121954.45662,484387.62872,2
121982.55025,484388.34772,8
121727.61747,484403.59505,4
121729.93843,484449.51322,8
121395.69064,484480.83996,2
121400.12170,484481.40831,2
121401.42481,484479.21361,4
121370.51942,484436.17667,6
121412.77383,484432.20944,8
121645.12829,484457.53105,7
121625.14157,484413.23194,10
121590.44383,484466.14113,2
121593.38054,484461.54884,6
121483.90013,484425.67601,6
121541.79098,484420.52383,8
121572.72906,484412.05119,2
121577.65069,484417.28388,6
121454.64037,484474.69420,4
121540.06785,484467.24119,4
121496.43787,484471.01561,6
121517.29081,484469.49391,8
121570.43458,486829.13455,2
121557.90888,486832.43908,2
121887.51915,486970.11704,4
121903.37481,486627.12806,2
121901.13302,486610.91495,8
121873.18254,486613.93775,2
121879.58017,486602.61094,8
121856.80230,486593.59615,2
121844.62605,486605.20462,2
121853.95671,486606.56048,2
121966.85865,486732.28253,2
121994.57712,486771.76743,2
121334.53483,486551.77488,2
121383.93328,486588.38501,2
121383.00750,486568.68703,2
121535.97845,486551.85312,2
121536.32805,486546.37988,2
121534.09462,486548.08521,2
121536.75307,486605.73372,2
121537.49377,486599.85662,2
121535.23671,486596.80766,6
121617.79069,486484.62030,2
121670.50030,486483.41555,2
121674.01196,486465.09306,10
121487.58908,486434.61367,2
121545.40794,486466.02958,2
121542.98898,486461.58654,6
121317.58339,485119.99864,8
121308.15359,485133.54280,6
121349.80469,485145.73515,2
121341.46375,485140.15481,2
121337.22171,485141.28625,2
121414.10499,485156.59813,8
121398.84507,485153.19057,2
121396.48485,485151.03169,4
121376.37827,485131.09751,2
121371.67209,485130.83721,10
121380.39605,485149.45377,2
121376.17620,485146.81616,4
122002.03561,485093.50693,10
121981.80867,485130.95326,10
121986.32624,485144.72507,16
121966.47964,485169.57113,16
121965.43713,485187.59790,2
121966.57675,485183.71731,12
121947.87035,485205.82420,2
121945.88668,485211.07575,16
121953.36890,485224.46226,2
121941.30210,485227.41229,2
121946.19601,485230.48994,2
121946.13878,485225.36683,12
121898.19424,485300.97617,2
121910.75267,485299.91634,2
121914.15459,485303.53102,2
121923.42565,485275.61730,2
121924.74274,485249.63724,2
121919.46162,485256.84496,2
121921.79282,485255.60176,4
121864.86158,485368.78825,6
121874.79404,485351.60952,2
121874.87436,485348.32864,6
121821.59558,485301.39973,2
121820.12284,485296.60628,6
121843.90091,485308.28933,10
121866.24756,485323.52249,2
121859.11933,485315.78933,2
121863.09860,485318.04256,6
121743.60582,485255.86923,2
121770.49170,485272.05888,8
121791.27292,485281.88658,6
121330.86259,485836.87910,2
121951.77816,485892.03534,8
121993.24023,485904.62777,8
121601.70338,485818.12117,4
121573.19062,485819.47691,4
121781.56439,485605.47385,2
121746.51754,485684.44322,2
121741.25630,485729.67785,2
121732.62270,485764.85653,2
121726.71010,485874.46570,4
121787.90385,485982.63418,8
121789.23730,485955.08503,2
121795.48651,485951.39197,2
129384.99956,479860.29102,2
129367.96699,479905.55637,2
129410.93203,479817.95365,2
129480.38225,479759.61795,2
129443.76040,479781.37121,2
129329.37036,480050.74948,2
129348.58278,479953.20397,2
129337.65192,480001.62493,2
129724.45073,479701.36656,2
129746.47559,479701.43656,2
129736.94937,479696.90900,2
129642.70204,479667.06763,2
129597.71027,479644.90019,2
129587.35758,479642.10968,2
128595.48763,479657.06710,2
128837.77258,480026.81408,2
128822.37139,480041.93692,2
128869.63265,479969.89616,2
128889.53675,479921.35003,2
128883.24659,479890.97683,2
128872.33055,479873.14988,2
128875.21716,479860.76843,2
130980.87342,480236.64104,2
130993.56708,480221.25763,4
130952.62600,480304.86482,2
130984.95130,480311.24367,2
130985.68175,480314.75533,2
130967.77044,480288.23909,2
130977.12480,480293.33499,2
130463.43758,480586.30273,2
130455.38669,480585.96461,2
130051.15816,480319.64509,2
130045.23368,480318.55457,2
130125.70206,480337.13562,2
130100.45962,480325.92764,4
130100.31527,480317.75160,4
130203.33555,480706.36971,4
130179.37228,480714.82020,6
130310.10771,480705.78268,2
130275.02621,480714.31853,4
130377.46448,480705.24098,2
130464.38095,480674.73317,2
130464.57491,480739.56097,4
130455.83272,480740.50060,8
130442.77417,480704.16797,2
130443.14552,480713.80833,4
130108.66345,480418.85427,2
130113.89484,480447.73502,4
130103.25434,480548.10451,6
130097.71873,480519.87160,8
130101.35162,480707.08570,4
130091.58020,480689.07824,2
130087.84710,480693.72902,6
130087.91037,480613.79111,4
130093.61934,480638.51136,10
130372.00337,480313.81842,2
130369.06568,480314.31021,2
130462.00326,480368.83042,2
130453.86851,480368.50832,4
130462.81044,480483.90399,4
130454.26820,480432.68517,6
130462.45664,480432.22487,6
130590.52354,481289.43296,4
130544.29038,481226.17874,6
130457.33894,480848.18406,12
130465.30335,480848.00855,6
130466.22962,480941.06913,8
130458.17188,480941.17585,12
130487.40717,481138.12503,6
130469.16936,481045.03584,10
130461.13787,481046.25339,12
123888.81396,486245.42217,8
123893.54058,486136.91213,4
123892.60417,486154.80520,2
123887.44107,486172.93144,2
123889.10116,486168.37338,2
123892.00117,486170.07991,4
123889.52752,486220.36284,4
123891.19648,486189.14423,6
123882.31523,486198.62768,2
123890.41106,486204.55484,4
123886.72823,486062.13717,8
123892.27716,486113.31478,2
123886.12419,486115.13241,2
123891.65241,486096.68534,4
123889.66476,486081.20577,6
123458.89452,486609.71529,8
123564.72599,486472.63539,2
123535.72268,486450.58952,2
123510.25207,486430.40930,2
123486.46577,486406.89837,2
123463.74998,486383.37532,2
123441.60670,486363.20069,2
123421.19175,486343.08648,4
124135.90675,486824.33373,2
124156.57936,486837.08832,2
123807.08243,487000.40939,2
123711.33194,486905.28830,4
123741.19262,483295.19424,2
124039.49057,484250.46160,4
123956.41076,484346.93003,2
123948.11275,484344.56518,4
122790.96962,484326.74038,2
122692.70340,485189.27798,2
122707.66057,485182.83680,4
122034.09324,484902.29254,2
122037.64967,484919.27207,2
122042.18081,484918.32487,4
122001.38221,485093.38880,2
121997.90722,485077.67644,8
122020.20011,484963.56535,4
122033.56772,484962.93098,2
122031.32834,484969.12645,2
122033.90367,484967.72860,2
122012.13531,485042.93039,8
122016.88850,485040.74311,2
122013.69582,485038.79940,2
122026.80119,484993.47902,2
122023.76711,484996.86234,4
122031.78152,485007.88704,2
122021.31010,485008.80869,2
122020.41842,485011.84458,4
122008.92876,485011.32059,2
122012.70533,485022.06675,2
122006.98599,485019.51008,2
122050.29264,484828.65578,2
122058.15079,484850.17622,2
122057.54161,484846.20470,2
122085.48112,484730.34151,6
122073.77082,484778.95207,2
122065.76371,484759.75935,2
122059.61038,484761.08439,2
121992.67669,485903.79381,2
122014.50390,485923.88671,2
122032.64619,485927.58045,4
122041.44588,485919.44718,8
122232.77162,485979.17754,2
122271.04208,485991.46953,4
122144.31768,485951.11226,4
122186.83553,485964.16956,4
123023.72036,486385.52968,6
123079.74135,486317.77535,2
123095.20837,486321.94065,2
123069.02639,486359.40090,2
123060.98090,486344.94637,8
122807.05975,486508.13893,2
122610.47950,486583.95641,2
122602.17841,486592.09737,4
122548.08078,486479.40605,8
122576.18924,486546.78234,4
122592.12123,486555.58063,6
122553.34607,486507.54150,6
122569.87346,486517.80535,2
122574.05926,486520.21034,2
122542.11115,486418.31711,6
122531.99886,486451.92820,2
122544.26849,486438.99312,4
122535.68466,486323.80450,2
122547.70741,486320.90099,6
122556.82929,486315.06957,8
122551.71892,486341.91915,6
122563.64693,486368.35406,4
122564.86490,486354.86238,2
122572.53602,486358.73303,2
122552.52505,486381.31945,6
122556.32707,486397.12904,6
122543.61351,486212.95894,4
122535.21193,486242.66977,6
122546.65605,486265.29338,2
122540.44513,486287.60800,6
122552.49861,486277.51939,2
122546.03161,486280.02387,2
122550.08337,486282.84167,4
122554.29015,486875.62241,2
122567.37065,486885.62087,2
122571.64212,486878.02453,4
122625.06313,486847.52427,4
122592.39259,486866.15560,4
122608.39594,486857.02970,4
122645.11525,486836.03015,6
122663.88549,486825.39112,2
122680.68822,486815.70163,4
122668.97022,486686.22610,2
122659.51797,486670.18017,4
122636.44458,486629.71670,4
122647.58110,486649.32847,4
122672.28879,486714.17734,4
122686.06645,486715.55349,8
122699.64401,486739.00258,8
122711.50577,486759.55473,2
122713.72184,486796.78182,4
122710.71593,486780.41228,6
122850.91417,486043.33558,2
123005.64616,485662.04260,2
122660.95543,485686.97083,2
122685.27884,485696.95037,2
122634.92047,485676.24940,2
122585.54285,485656.45489,2
122610.02469,485666.45944,2
122782.70360,485736.39438,4
122814.57049,485749.57720,4
122415.34707,485586.82966,2
122277.77710,485528.25905,2
122266.34894,485491.33593,2
122289.70914,485504.29490,2
122294.36283,485484.85818,2
114981.78283,485770.32322,2
115043.81742,485785.99782,2
115047.28442,485773.03918,2
115040.49385,485773.98951,4
114845.57153,485838.60787,2
114820.00762,485924.16337,2
114829.29415,485889.94837,2
114836.18485,485873.22309,4
114695.59355,485960.08627,2
114739.47869,485956.21288,2
114738.18500,485959.45910,2
114747.11116,485954.10184,2
114745.08835,485957.74767,2
118869.98534,484995.33927,2
119050.86768,485054.57256,2
119046.69492,485062.30249,8
118988.23782,485032.22821,6
118988.13072,485043.22641,2
118984.20435,485039.73149,8
118932.09574,485008.69072,2
118927.97134,485017.29508,10
119123.70025,485089.72650,6
119123.97961,485103.04814,2
119118.72839,485097.28968,8
119460.95564,485231.12892,2
119457.01712,485238.51075,6
119187.63371,485114.23367,2
119183.40946,485121.51784,6
119401.37524,485213.71841,6
119241.24908,485139.23591,2
119235.83896,485145.97669,6
119348.03842,485199.92752,4
119341.07986,485054.20577,4
119354.71354,485021.92670,4
119286.41674,485168.48975,5
119387.23207,485070.55117,4
119371.57398,485107.70161,4
119350.08129,485130.87890,7
119323.44707,485117.52466,6
119321.92594,485144.59490,2
119332.37467,485151.41742,2
118929.55556,484520.34995,6
118933.04797,484341.62602,4
118930.53241,484470.49160,4
118931.20642,484444.15803,4
118931.44305,484420.65024,4
118932.68881,484369.80440,6
118932.44761,484394.49170,6
118923.26683,484705.05772,2
118925.69196,484655.09273,2
119024.77441,484311.98495,2
119013.96241,484316.17615,2
119050.44547,484347.69010,2
119032.59212,484342.34901,4
119096.35049,484412.30852,2
119086.74976,484418.71441,4
119065.25997,484388.39157,2
119075.16261,484382.25574,4
119173.55138,484333.20429,2
119129.57155,484322.04948,4
118968.58583,484771.69520,2
118996.43726,484738.56287,2
119028.08740,484702.86953,4
119002.98621,484721.11858,2
119006.46811,484720.14787,2
119036.04520,484720.99617,2
119022.27186,484716.60210,2
119021.10792,484721.58078,4
119103.85657,484661.55432,4
119074.27805,484684.49128,2
119063.37271,484689.20788,2
119066.03120,484686.04667,2
119063.69854,484669.64837,2
119073.62278,484672.28279,4
119139.36604,484480.03805,2
119133.26096,484483.39882,4
119299.96431,484730.50024,4
119271.57127,484696.40622,10
119287.66540,484700.90329,10
119297.59006,484357.84017,2
119300.28691,484345.76191,2
119259.46830,484337.17984,2
119248.07750,484347.31004,2
119165.87496,484532.93011,4
119172.17555,484529.30247,6
119157.55844,484623.58060,2
119153.89557,484617.09966,4
119260.91231,484548.35689,4
119251.36198,484561.13089,2
119256.21445,484560.71071,2
119251.03051,484649.01998,8
119235.86529,484639.17812,8
119220.54716,484600.78922,2
119216.77885,484610.36299,6
119219.37545,484573.44017,2
119188.76133,484595.43065,2
119198.65235,484567.65094,2
119191.37573,484574.46690,2
119187.25921,484570.16617,2
119341.95668,484493.79930,2
119332.37021,484511.10481,4
119303.76555,484528.41495,2
119312.37281,484513.22559,4
119362.28135,484357.73946,2
119345.73726,484368.93168,4
119420.49344,484451.30557,2
119384.19062,484474.94376,4
119390.07446,484463.62478,2
119390.97814,484459.83954,2
119442.63538,484393.71709,2
119462.17799,484410.97642,4
119447.40218,484420.74626,2
119447.79603,484432.87439,6
119394.86451,484379.44074,2
119420.42591,484371.43019,4
119450.67865,486031.33272,2
119460.05056,485978.32710,4
118978.58554,486347.61843,2
118952.44446,486375.39279,2
119228.47319,486428.96959,10
119283.02347,486444.97206,6
119255.52363,486441.39072,6
119155.79838,486402.90228,2
119157.94395,486405.26747,10
119122.37544,486412.26376,2
119117.70827,486412.67476,9
115483.02932,485739.86321,2
115524.09184,485770.63861,2
