pano_id,center_bbox
TMX7316010203-001317_pano_0000_002625,836.68
TMX7316010203-001315_pano_0002_005193,1069.11
TMX7316010203-001315_pano_0002_005191,1895.85
TMX7316010203-001315_pano_0002_005026,314.18
TMX7316010203-001315_pano_0002_005026,1868.31
TMX7316010203-001315_pano_0002_005027,95.78
TMX7316010203-001315_pano_0002_005027,1684.63
TMX7316010203-001317_pano_0000_002623,1859.63
TMX7316010203-001315_pano_0002_005037,1694.76
TMX7316010203-001636_pano_0002_000051,543.59
TMX7316010203-001315_pano_0002_005036,1860.15
TMX7316010203-001317_pano_0000_002636,810.09
TMX7316010203-001317_pano_0000_002634,1868.54
TMX7316010203-001636_pano_0002_000053,850.19
TMX7316010203-001636_pano_0002_000053,1283.62
TMX7316010203-001636_pano_0002_000053,528.24
TMX7316010203-001636_pano_0002_000052,975.64
TMX7316010203-001315_pano_0002_004698,990.77
TMX7316010203-001315_pano_0002_005035,265.74
TMX7316010203-001317_pano_0000_002635,1889.53
TMX7316010203-001305_pano_0000_007897,437.17
TMX7316010203-001315_pano_0002_004993,567.35
TMX7316010203-001315_pano_0002_004993,1589.5
TMX7316010203-001317_pano_0000_002679,340.83
TMX7316010203-001317_pano_0000_002645,833.14
TMX7316010203-001317_pano_0000_002645,1883.38
TMX7316010203-001315_pano_0002_004376,986.52
TMX7316010203-001315_pano_0002_004377,868.66
TMX7316010203-001315_pano_0002_004377,1296.52
TMX7316010203-001315_pano_0002_004377,533.87
TMX7316010203-001315_pano_0002_004995,435.17
TMX7316010203-001315_pano_0002_004375,536.43
TMX7316010203-001317_pano_0000_002643,925.39
TMX7316010203-001315_pano_0002_004994,530.66
TMX7316010203-001317_pano_0000_002673,1572.6
TMX7316010203-001317_pano_0000_002672,1822.81
TMX7316010203-001317_pano_0000_001142,896.14
TMX7316010203-001305_pano_0000_007898,872.0
TMX7316010203-001517_pano_0001_000097,903.74
TMX7316010203-001317_pano_0000_002638,1975.73
TMX7316010203-001517_pano_0001_000193,544.06
TMX7316010203-001315_pano_0002_005007,231.67
TMX7316010203-001315_pano_0002_004696,1578.68
TMX7316010203-001315_pano_0002_004697,1806.96
TMX7316010203-001517_pano_0001_000196,1088.3
TMX7316010203-001324_pano_0000_002932,91.89
TMX7316010203-001517_pano_0001_000195,1270.75
TMX7316010203-001517_pano_0001_000195,824.66
TMX7316010203-001324_pano_0000_002931,297.14
TMX7316010203-001324_pano_0000_002930,607.86
TMX7316010203-001315_pano_0002_005028,1663.74
TMX7316010203-001517_pano_0001_000194,919.02
