pano_id,center_bbox
TMX7316010203-001316_pano_0000_006423,1435.88
TMX7316010203-001315_pano_0002_004267,1678.51
TMX7316010203-001315_pano_0002_004266,1502.75
TMX7316010203-001316_pano_0000_006422,1420.07
TMX7316010203-001315_pano_0002_004258,1568.19
TMX7316010203-001316_pano_0000_006569,530.68
TMX7316010203-001324_pano_0000_002318,1854.48
TMX7316010203-001316_pano_0000_006551,1278.72
TMX7316010203-001306_pano_0000_003939,486.5
TMX7316010203-001315_pano_0002_004328,879.45
TMX7316010203-001324_pano_0000_002319,249.99
TMX7316010203-001315_pano_0002_004260,276.21
TMX7316010203-001316_pano_0000_006547,222.67
TMX7316010203-001306_pano_0000_003961,537.15
TMX7316010203-001517_pano_0001_000689,1855.37
TMX7316010203-001324_pano_0000_002168,167.28
TMX7316010203-001315_pano_0002_004213,1184.42
TMX7316010203-001306_pano_0000_003963,914.45
TMX7316010203-001317_pano_0000_002309,1987.12
TMX7316010203-001306_pano_0000_003962,640.29
TMX7316010203-001315_pano_0002_004212,1060.93
TMX7316010203-001324_pano_0000_002169,346.97
TMX7316010203-001324_pano_0000_002352,420.87
TMX7316010203-001324_pano_0000_002178,883.04
TMX7316010203-001315_pano_0002_004215,1874.13
TMX7316010203-001636_pano_0002_000568,1077.71
TMX7316010203-001306_pano_0000_003964,1189.35
TMX7316010203-001315_pano_0002_004228,266.55
TMX7316010203-001324_pano_0000_002351,440.43
TMX7316010203-001315_pano_0002_004214,1666.27
TMX7316010203-001324_pano_0000_002176,293.74
TMX7316010203-001315_pano_0002_004219,1096.7
TMX7316010203-001324_pano_0000_002360,583.36
TMX7316010203-001315_pano_0002_004225,1397.2
TMX7316010203-001306_pano_0000_003941,909.01
TMX7316010203-001517_pano_0001_000656,623.0
TMX7316010203-001316_pano_0000_006070,390.28
TMX7316010203-001517_pano_0001_000657,1028.55
TMX7316010203-001306_pano_0000_003940,573.21
TMX7316010203-001517_pano_0001_000680,202.94
TMX7316010203-001324_pano_0000_002177,776.09
TMX7316010203-001324_pano_0000_002175,77.27
TMX7316010203-001315_pano_0002_004226,1502.26
TMX7316010203-001636_pano_0002_000573,1698.67
TMX7316010203-001306_pano_0000_003942,1230.59
TMX7316010203-001315_pano_0002_004227,79.71
TMX7316010203-001324_pano_0000_002174,25.57
TMX7316010203-001324_pano_0000_002170,756.45
TMX7316010203-001517_pano_0001_000692,363.19
TMX7316010203-001517_pano_0001_000686,1477.7
TMX7316010203-001315_pano_0002_004222,68.56
TMX7316010203-001324_pano_0000_002171,886.23
TMX7316010203-001316_pano_0000_003656,1158.42
TMX7316010203-001317_pano_0000_002312,831.91
TMX7316010203-001636_pano_0002_000011,1174.62
TMX7316010203-001636_pano_0002_000010,952.15
TMX7316010203-001517_pano_0001_000691,215.93
TMX7316010203-001315_pano_0002_004221,1922.36
TMX7316010203-001324_pano_0000_002317,1484.64
TMX7316010203-001324_pano_0000_002303,1031.84
TMX7316010203-001315_pano_0002_004326,289.03
TMX7316010203-001315_pano_0002_004332,65.99
TMX7316010203-001315_pano_0002_004333,277.84
TMX7316010203-001315_pano_0002_004327,702.23
TMX7316010203-001315_pano_0002_004319,700.06
TMX7316010203-001315_pano_0002_004331,24.24
TMX7316010203-001315_pano_0002_004325,166.66
TMX7316010203-001315_pano_0002_004318,487.57
TMX7316010203-001324_pano_0000_002305,1445.7
TMX7316010203-001315_pano_0002_004268,179.86
TMX7316010203-001315_pano_0002_004334,789.09
TMX7316010203-001315_pano_0002_004320,1082.86
TMX7316010203-001315_pano_0002_004321,1174.79
TMX7316010203-001315_pano_0002_004335,896.46
TMX7316010203-001324_pano_0000_002310,1095.11
TMX7316010203-001324_pano_0000_002304,1104.68
TMX7316010203-001324_pano_0000_002312,1812.11
TMX7316010203-001324_pano_0000_002306,1821.7
TMX7316010203-001324_pano_0000_002313,33.23
TMX7316010203-001317_pano_0000_002311,755.5
TMX7316010203-001324_pano_0000_002413,440.0
TMX7316010203-001316_pano_0000_006425,130.5
TMX7316010203-001316_pano_0000_003655,1381.0
TMX7316010203-001324_pano_0000_002415,1159.5
TMX7316010203-001316_pano_0000_006548,368.0
TMX7316010203-001317_pano_0000_002310,249.5
TMX7316010203-001316_pano_0000_006571,1025.5
TMX7316010203-001316_pano_0000_006549,752.0
TMX7316010203-001324_pano_0000_002416,1312.5
TMX7316010203-001316_pano_0000_006570,661.0
TMX7316010203-001316_pano_0000_006550,1179.0
