pano_id,center_bbox
TMX7316010203-001475_pano_0000_000013,766.63
TMX7316010203-001475_pano_0000_000403,917.03
TMX7316010203-001525_pano_0000_003039,1109.62
TMX7316010203-001475_pano_0000_000400,813.14
TMX7316010203-001475_pano_0000_000401,928.67
TMX7316010203-001475_pano_0000_000015,273.41
TMX7316010203-001536_pano_0000_001077,1003.73
TMX7316010203-001475_pano_0001_000910,607.05
TMX7316010203-001475_pano_0000_000404,1074.03
TMX7316010203-001475_pano_0001_000911,950.18
TMX7316010203-001536_pano_0000_001076,524.85
TMX7316010203-001475_pano_0000_000014,510.01
TMX7316010203-001536_pano_0000_001075,357.33
TMX7316010203-001475_pano_0000_000017,858.62
TMX7316010203-001527_pano_0000_001594,1352.74
TMX7316010203-001527_pano_0000_001557,1727.8
TMX7316010203-001527_pano_0000_001386,176.48
TMX7316010203-001527_pano_0000_001351,1922.36
TMX7316010203-001527_pano_0000_001379,109.63
TMX7316010203-001204_pano_0000_000708,779.83
TMX7316010203-001207_pano_0000_003152,772.23
TMX7316010203-001207_pano_0000_003190,374.84
TMX7316010203-001527_pano_0000_001378,926.82
TMX7316010203-001527_pano_0000_001387,489.71
TMX7316010203-001204_pano_0000_000655,412.39
TMX7316010203-001527_pano_0000_001556,1377.96
TMX7316010203-001527_pano_0000_001581,1351.45
TMX7316010203-001527_pano_0000_001595,1439.65
TMX7316010203-001195_pano_0000_001578,137.05
TMX7316010203-001205_pano_0001_000665,191.0
TMX7316010203-001527_pano_0000_001583,180.88
TMX7316010203-001527_pano_0000_001597,171.12
TMX7316010203-001527_pano_0000_001568,1407.84
TMX7316010203-001527_pano_0000_001352,577.48
TMX7316010203-001191_pano_0000_003907,1410.26
TMX7316010203-001191_pano_0000_003906,1623.75
TMX7316010203-001527_pano_0000_001353,869.45
TMX7316010203-001527_pano_0000_001384,891.76
TMX7316010203-001527_pano_0000_001569,1872.99
TMX7316010203-001527_pano_0000_001555,1314.37
TMX7316010203-001527_pano_0000_001596,1872.11
TMX7316010203-001209_pano_0000_000198,669.64
TMX7316010203-001475_pano_0000_000328,67.14
TMX7316010203-001527_pano_0000_001357,667.43
TMX7316010203-001207_pano_0000_003154,253.13
TMX7316010203-001207_pano_0000_003169,195.69
TMX7316010203-001181_pano_0000_004354,1216.04
TMX7316010203-001527_pano_0000_001356,113.47
TMX7316010203-001527_pano_0000_001381,909.96
TMX7316010203-001527_pano_0000_001587,1346.69
TMX7316010203-001527_pano_0000_001383,397.84
TMX7316010203-001527_pano_0000_001368,61.47
TMX7316010203-001525_pano_0000_001648,1251.88
TMX7316010203-001527_pano_0000_001382,135.04
TMX7316010203-001527_pano_0000_001590,243.06
TMX7316010203-001191_pano_0000_004125,910.41
TMX7316010203-001209_pano_0000_000197,256.61
TMX7316010203-001527_pano_0000_001589,155.2
TMX7316010203-001527_pano_0000_001576,70.85
TMX7316010203-001527_pano_0000_001364,893.46
TMX7316010203-001204_pano_0000_000701,260.79
TMX7316010203-001527_pano_0000_001370,910.47
TMX7316010203-001475_pano_0000_000327,858.57
TMX7316010203-001527_pano_0000_001358,899.1
TMX7316010203-001527_pano_0000_001365,82.01
TMX7316010203-001527_pano_0000_001563,47.42
TMX7316010203-001527_pano_0000_001577,173.59
TMX7316010203-001191_pano_0000_004124,602.21
TMX7316010203-001195_pano_0000_001573,744.94
TMX7316010203-001527_pano_0000_001561,1313.83
TMX7316010203-001527_pano_0000_001575,1552.95
TMX7316010203-001527_pano_0000_001373,925.55
TMX7316010203-001475_pano_0000_000330,1019.92
TMX7316010203-001527_pano_0000_001367,868.31
TMX7316010203-001207_pano_0000_003158,203.83
TMX7316010203-001191_pano_0000_003932,1661.29
TMX7316010203-001191_pano_0000_003933,1573.79
TMX7316010203-001475_pano_0000_000319,1712.77
TMX7316010203-001527_pano_0000_001574,1322.81
TMX7316010203-001195_pano_0000_001572,543.6
TMX7316010203-001191_pano_0000_004123,408.88
TMX7316010203-001527_pano_0000_001558,129.55
TMX7316010203-001527_pano_0000_001564,177.21
TMX7316010203-001527_pano_0000_001570,150.41
TMX7316010203-001527_pano_0000_001376,120.26
TMX7316010203-001475_pano_0000_000321,122.04
TMX7316010203-001527_pano_0000_001362,125.95
TMX7316010203-001207_pano_0000_003161,201.65
TMX7316010203-001191_pano_0000_003936,838.7
TMX7316010203-001525_pano_0000_003041,467.29
TMX7316010203-001527_pano_0000_001363,721.07
TMX7316010203-001527_pano_0000_001377,678.76
TMX7316010203-001527_pano_0000_001388,894.46
TMX7316010203-001527_pano_0000_001559,189.94
TMX7316010203-001195_pano_0000_001577,194.36
TMX7316010203-001195_pano_0000_001575,1354.55
TMX7316010203-001527_pano_0000_001567,1325.06
TMX7316010203-001527_pano_0000_001361,905.71
TMX7316010203-001475_pano_0000_000322,723.33
TMX7316010203-001525_pano_0000_003043,1223.3
TMX7316010203-001191_pano_0000_003934,1209.49
TMX7316010203-001191_pano_0000_003908,973.72
TMX7316010203-001191_pano_0000_003909,855.76
TMX7316010203-001191_pano_0000_003935,905.67
TMX7316010203-001207_pano_0000_003177,817.54
TMX7316010203-001475_pano_0000_000323,898.29
TMX7316010203-001527_pano_0000_001360,702.69
TMX7316010203-001195_pano_0000_001574,1254.21
TMX7316010203-001536_pano_0000_001078,1150.08
TMX7316010203-001536_pano_0000_001050,1052.82
TMX7316010203-001536_pano_0000_000776,1931.41
TMX7316010203-001536_pano_0000_000777,147.06
TMX7316010203-001536_pano_0000_001051,1162.91
TMX7316010203-001475_pano_0000_000019,257.27
TMX7316010203-001536_pano_0000_000775,1578.26
TMX7316010203-001536_pano_0000_000774,1424.13
TMX7316010203-001475_pano_0000_000018,680.23
TMX7316010203-001191_pano_0000_004150,453.79
TMX7316010203-001181_pano_0000_004263,72.31
TMX7316010203-001190_pano_0000_002592,1310.26
TMX7316010203-001181_pano_0000_004262,1701.46
TMX7316010203-001181_pano_0000_004260,1162.39
TMX7316010203-001475_pano_0000_000396,756.47
TMX7316010203-001527_pano_0000_000974,224.41
TMX7316010203-001475_pano_0000_000397,900.64
TMX7316010203-001181_pano_0000_004261,1345.08
TMX7316010203-001207_pano_0000_003156,759.0
TMX7316010203-001207_pano_0000_003182,296.5
TMX7316010203-001207_pano_0000_003172,320.5
TMX7316010203-001207_pano_0000_003184,658.5
TMX7316010203-001207_pano_0000_003174,674.5
TMX7316010203-001207_pano_0000_003163,584.0
TMX7316010203-001207_pano_0000_003153,480.5
