pano_id,center_bbox
TMX7316010203-001497_pano_0007_000082,1674.05
TMX7316010203-001499_pano_0000_001992,1240.6
TMX7316010203-001497_pano_0007_000257,1376.55
TMX7316060226-000477_pano_0000_000883,467.14
TMX7316010203-001500_pano_0000_000251,188.2
TMX7316010203-001497_pano_0007_000121,1866.32
TMX7316010203-001159_pano_0001_001095,886.42
TMX7316010203-001167_pano_0001_002396,1809.52
TMX7316060226-000477_pano_0000_000505,597.13
TMX7316010203-001499_pano_0000_001603,611.04
TMX7316010203-001147_pano_0000_001636,319.76
TMX7316010203-001500_pano_0000_000250,1730.5
TMX7316010203-001497_pano_0007_000295,794.2
TMX7316010203-001497_pano_0007_000256,1226.08
TMX7316010203-001159_pano_0000_001007,1268.97
TMX7316010203-001500_pano_0000_000330,300.33
TMX7316010203-001497_pano_0007_000083,1931.15
TMX7316010203-001159_pano_0000_000899,1263.32
TMX7316010203-001499_pano_0000_000682,1682.6
TMX7316010203-001497_pano_0007_000095,369.96
TMX7316010203-001499_pano_0000_001991,992.97
TMX7316010203-001497_pano_0007_000254,548.51
TMX7316010203-001497_pano_0007_000297,1420.03
TMX7316060226-000477_pano_0001_000387,1302.18
TMX7316010203-001500_pano_0000_000508,1255.47
TMX7316010203-001160_pano_0000_002154,1710.76
TMX7316010203-001499_pano_0000_000709,1618.91
TMX7316010203-001497_pano_0007_000122,326.79
TMX7316010203-001167_pano_0001_002395,76.93
TMX7316010203-001502_pano_0000_000001,845.12
TMX7316060226-000477_pano_0000_000506,463.88
TMX7316010203-001159_pano_0000_000910,1459.87
TMX7316010203-001159_pano_0000_000905,1328.7
TMX7316010203-001159_pano_0001_001097,1819.21
TMX7316010203-001159_pano_0001_001732,1296.93
TMX7316010203-001160_pano_0000_002155,1914.48
TMX7316010203-001147_pano_0000_001635,233.27
TMX7316010203-001499_pano_0000_001614,1319.83
TMX7316010203-001497_pano_0007_000296,1289.97
TMX7316010203-001147_pano_0000_000339,314.06
TMX7316010203-001500_pano_0000_000327,1550.98
TMX7316010203-001499_pano_0000_001990,732.74
TMX7316010203-001497_pano_0007_000094,186.03
TMX7316010203-001499_pano_0000_000683,160.18
TMX7316010203-001159_pano_0001_002429,847.07
TMX7316010203-001601_pano_0005_000233,1660.92
TMX7316010203-001489_pano_0000_000215,721.45
TMX7316010203-001497_pano_0007_000084,252.67
TMX7316010203-001497_pano_0007_000245,637.89
TMX7316010203-001500_pano_0000_000323,312.22
TMX7316010203-001497_pano_0007_000286,1348.34
TMX7316010203-001499_pano_0000_001604,1046.46
TMX7316010203-001497_pano_0007_000331,1737.08
TMX7316010203-001161_pano_0000_001558,466.32
TMX7316010203-001500_pano_0000_000257,1495.41
TMX7316010203-001500_pano_0000_000257,602.48
TMX7316010203-001159_pano_0001_001722,657.85
TMX7316060226-000477_pano_0000_000503,1310.29
TMX7316010203-001502_pano_0000_000004,776.13
TMX7316010203-001502_pano_0000_000005,814.98
TMX7316010203-001167_pano_0001_002385,107.5
TMX7316060226-000477_pano_0000_000516,1230.58
TMX7316010203-001497_pano_0007_000132,385.19
TMX7316010203-001500_pano_0000_000256,1428.07
TMX7316010203-001500_pano_0000_000518,783.66
TMX7316010203-001497_pano_0007_000330,91.38
TMX7316010203-001499_pano_0000_001605,1348.53
TMX7316010203-001500_pano_0000_000322,178.62
TMX7316010203-001500_pano_0000_000322,758.95
TMX7316010203-001500_pano_0000_000336,341.04
TMX7316010203-001500_pano_0000_003617,345.72
TMX7316010203-001497_pano_0007_000244,550.38
TMX7316010203-001489_pano_0000_000216,869.93
TMX7316010203-001601_pano_0005_000234,1271.89
TMX7316010203-001497_pano_0007_000093,1752.27
TMX7316010203-001499_pano_0000_000684,367.16
TMX7316010203-001497_pano_0007_000246,1102.39
TMX7316010203-001500_pano_0000_000320,1462.11
TMX7316010203-001497_pano_0007_000285,981.52
TMX7316010203-001500_pano_0000_000268,343.36
TMX7316010203-001500_pano_0000_000268,266.07
TMX7316010203-001499_pano_0000_001613,864.32
TMX7316010203-001500_pano_0000_000297,81.37
TMX7316010203-001159_pano_0001_001709,429.13
TMX7316010203-001497_pano_0007_000130,1778.6
TMX7316060226-000477_pano_0000_000514,467.01
TMX7316010203-001159_pano_0000_000916,1226.04
TMX7316010203-001163_pano_0000_004658,1563.52
TMX7316010203-001159_pano_0001_001090,1703.6
TMX7316010203-001502_pano_0000_000006,534.06
TMX7316010203-001167_pano_0001_002386,1843.67
TMX7316010203-001159_pano_0001_001708,1281.59
TMX7316010203-001497_pano_0007_000131,266.77
TMX7316010203-001500_pano_0000_000296,1517.4
TMX7316010203-001161_pano_0000_000122,1371.05
TMX7316010203-001499_pano_0000_001612,595.56
TMX7316010203-001497_pano_0007_000284,625.92
TMX7316010203-001500_pano_0000_000321,979.17
TMX7316010203-001500_pano_0000_000321,1658.39
TMX7316010203-001499_pano_0000_001982,1266.92
TMX7316010203-001497_pano_0007_000247,1364.01
TMX7316010203-001159_pano_0000_001016,1248.42
TMX7316010203-001159_pano_0000_001016,1568.65
TMX7316010203-001500_pano_0000_002046,501.31
TMX7316010203-001499_pano_0000_002036,1336.14
TMX7316010203-001499_pano_0000_002022,1275.04
TMX7316060226-000477_pano_0000_000823,417.27
TMX7316010203-001499_pano_0000_002220,555.3
TMX7316010203-001487_pano_0000_000372,212.15
TMX7316010203-001147_pano_0000_001913,1455.94
TMX7316010203-001173_pano_0002_001188,1559.69
TMX7316010203-001159_pano_0001_000908,1261.99
TMX7316010203-001500_pano_0000_000554,1192.08
TMX7316010203-001500_pano_0000_000568,451.91
TMX7316010203-001148_pano_0000_001440,1441.96
TMX7316010203-001167_pano_0001_002444,1351.8
TMX7316010203-001497_pano_0007_000142,356.4
TMX7316060226-000477_pano_0001_000873,171.65
TMX7316060226-000477_pano_0001_000899,1759.18
TMX7316060226-000477_pano_0001_000872,661.22
TMX7316060226-000477_pano_0001_000866,1809.38
TMX7316010203-001500_pano_0000_000582,1637.56
TMX7316010203-001148_pano_0000_001441,1245.86
TMX7316010203-001148_pano_0000_001441,1539.95
TMX7316010203-001500_pano_0000_000569,625.47
TMX7316010203-001500_pano_0000_000541,1490.15
TMX7316010203-001159_pano_0001_000921,202.2
TMX7316010203-001497_pano_0007_000235,554.6
TMX7316010203-001499_pano_0000_002221,240.4
TMX7316060226-000477_pano_0001_000912,1743.26
TMX7316010203-001499_pano_0000_002023,1396.84
TMX7316010203-001499_pano_0000_002021,804.53
TMX7316010203-001499_pano_0000_002035,983.09
TMX7316010203-001479_pano_0005_000079,1810.95
TMX7316010203-001487_pano_0000_000371,1886.49
TMX7316010203-001497_pano_0007_000223,1076.55
TMX7316010203-001497_pano_0007_000237,1190.16
TMX7316010203-001173_pano_0002_001160,1564.33
TMX7316010203-001499_pano_0000_002343,1385.05
TMX7316010203-001500_pano_0000_000557,131.95
TMX7316010203-001500_pano_0000_000557,602.6
TMX7316010203-001500_pano_0000_000580,114.99
TMX7316060226-000477_pano_0000_000983,231.31
TMX7316010203-001499_pano_0000_002169,1846.29
TMX7316010203-001497_pano_0007_000141,162.5
TMX7316010203-001173_pano_0002_000691,255.19
TMX7316010203-001497_pano_0007_000182,1301.64
TMX7316010203-001499_pano_0000_002197,1616.24
TMX7316060226-000477_pano_0001_000865,1743.66
TMX7316010203-001497_pano_0007_000140,1658.29
TMX7316010203-001499_pano_0000_002168,1614.09
TMX7316060226-000477_pano_0001_000871,782.96
TMX7316060226-000477_pano_0001_000859,792.71
TMX7316010203-001159_pano_0000_000999,1270.69
TMX7316010203-001148_pano_0000_001442,1346.28
TMX7316060226-000477_pano_0000_000982,532.59
TMX7316010203-001499_pano_0000_002342,1728.98
TMX7316010203-001500_pano_0000_000556,273.16
TMX7316010203-001500_pano_0000_000556,528.22
TMX7316010203-001147_pano_0001_000108,367.28
TMX7316010203-001500_pano_0000_000542,1268.79
TMX7316010203-001500_pano_0000_000542,1541.42
TMX7316010203-001497_pano_0007_000222,659.48
TMX7316010203-001487_pano_0000_000370,1536.02
TMX7316010203-001148_pano_0000_001052,1617.95
TMX7316010203-001479_pano_0005_000078,45.88
TMX7316010203-001499_pano_0000_002020,612.0
TMX7316060226-000477_pano_0001_000901,742.27
TMX7316010203-001496_pano_0001_000067,734.98
TMX7316060226-000477_pano_0000_001246,1208.69
