pano_id,center_bbox
TMX7316010203-001218_pano_0000_003628,112.84
TMX7316010203-001218_pano_0000_003628,1197.26
TMX7316010203-001218_pano_0000_003600,924.81
TMX7316010203-001218_pano_0000_003600,1717.79
TMX7316010203-001217_pano_0000_000684,683.45
TMX7316010203-001218_pano_0000_003416,371.37
TMX7316010203-001218_pano_0000_003210,1168.12
TMX7316010203-001218_pano_0000_003210,492.2
TMX7316010203-001218_pano_0000_003576,1953.62
TMX7316010203-001218_pano_0000_003576,1665.86
TMX7316010203-001218_pano_0000_003562,407.38
TMX7316010203-001218_pano_0000_003562,218.27
TMX7316010203-001218_pano_0000_003204,1104.79
TMX7316010203-001218_pano_0000_003204,540.28
TMX7316010203-001218_pano_0000_003589,570.79
TMX7316010203-001218_pano_0000_003589,884.69
TMX7316010203-001218_pano_0000_003588,1089.16
TMX7316010203-001218_pano_0000_003588,245.83
TMX7316010203-001218_pano_0000_003563,93.06
TMX7316010203-001218_pano_0000_003563,480.91
TMX7316010203-001218_pano_0000_003205,1599.73
TMX7316010203-001218_pano_0000_003205,142.87
TMX7316010203-001218_pano_0000_003211,87.57
TMX7316010203-001218_pano_0000_003211,1646.0
TMX7316010203-001218_pano_0000_003577,246.66
TMX7316010203-001218_pano_0000_003577,1379.3
TMX7316010203-001218_pano_0000_003417,402.03
TMX7316010203-001218_pano_0000_003615,774.87
TMX7316010203-001218_pano_0000_003601,600.47
TMX7316010203-001218_pano_0000_003601,205.68
TMX7316010203-001218_pano_0000_003629,1054.16
TMX7316010203-001218_pano_0000_003629,258.24
TMX7316010203-001218_pano_0000_002253,1657.06
TMX7316010203-001218_pano_0000_003617,145.82
TMX7316010203-001218_pano_0000_003603,323.79
TMX7316010203-001218_pano_0000_003429,371.81
TMX7316010203-001218_pano_0000_003575,1741.5
TMX7316010203-001218_pano_0000_003575,1900.41
TMX7316010203-001476_pano_0006_000360,1711.16
TMX7316010203-001476_pano_0006_000360,1240.15
TMX7316010203-001476_pano_0006_000361,1530.9
TMX7316010203-001476_pano_0006_000361,1310.68
TMX7316010203-001218_pano_0000_003212,1750.51
TMX7316010203-001218_pano_0000_003212,1955.88
TMX7316010203-001218_pano_0000_003206,1973.51
TMX7316010203-001218_pano_0000_003206,1745.09
TMX7316010203-001218_pano_0000_003414,1459.05
TMX7316010203-001218_pano_0000_003164,1911.8
TMX7316010203-001218_pano_0000_003164,1759.8
TMX7316010203-001218_pano_0000_003602,444.61
TMX7316010203-001218_pano_0000_003602,244.85
TMX7316010203-001218_pano_0000_003616,1132.65
TMX7316010203-001218_pano_0000_003616,664.51
TMX7316010203-001218_pano_0000_003606,1641.38
TMX7316010203-001218_pano_0000_003606,121.76
TMX7316010203-001218_pano_0000_003160,741.53
TMX7316010203-001218_pano_0000_003160,926.62
TMX7316010203-001217_pano_0000_000682,1137.75
TMX7316010203-001218_pano_0000_002256,672.36
TMX7316010203-001218_pano_0000_002256,1751.19
TMX7316010203-001218_pano_0000_003410,767.54
TMX7316010203-001218_pano_0000_003410,284.13
TMX7316010203-001218_pano_0000_003564,1752.11
TMX7316010203-001218_pano_0000_003564,1067.42
TMX7316010203-001218_pano_0000_003570,1276.42
TMX7316010203-001218_pano_0000_003570,748.31
TMX7316010203-001218_pano_0000_003558,1500.12
TMX7316010203-001218_pano_0000_003558,1202.53
TMX7316010203-001476_pano_0006_000359,36.61
TMX7316010203-001476_pano_0006_000358,173.97
TMX7316010203-001476_pano_0006_000358,369.19
TMX7316010203-001218_pano_0000_003559,1268.08
TMX7316010203-001218_pano_0000_003559,1427.37
TMX7316010203-001218_pano_0000_003571,1008.27
TMX7316010203-001218_pano_0000_003565,1517.2
TMX7316010203-001218_pano_0000_003565,1249.92
TMX7316010203-001218_pano_0000_003203,924.74
TMX7316010203-001218_pano_0000_003203,698.14
TMX7316010203-001218_pano_0000_003405,861.1
TMX7316010203-001218_pano_0000_003405,641.43
TMX7316010203-001218_pano_0000_003411,142.08
TMX7316010203-001218_pano_0000_003411,1151.55
TMX7316010203-001218_pano_0000_002257,1485.88
TMX7316010203-001218_pano_0000_002257,1774.68
TMX7316010203-001218_pano_0000_003607,1761.74
TMX7316010203-001217_pano_0000_000683,971.48
TMX7316010203-001218_pano_0000_003161,642.47
TMX7316010203-001218_pano_0000_003161,1035.77
TMX7316010203-001218_pano_0000_003163,1969.16
TMX7316010203-001218_pano_0000_003163,1703.93
TMX7316010203-001218_pano_0000_003605,535.56
TMX7316010203-001218_pano_0000_003605,1171.31
TMX7316010203-001218_pano_0000_002255,977.66
TMX7316010203-001218_pano_0000_002255,628.24
TMX7316010203-001218_pano_0000_003407,155.61
TMX7316010203-001218_pano_0000_003407,1748.25
TMX7316010203-001218_pano_0000_003413,1544.86
TMX7316010203-001218_pano_0000_003229,644.48
TMX7316010203-001218_pano_0000_003229,146.43
TMX7316010203-001218_pano_0000_003598,1401.06
TMX7316010203-001218_pano_0000_003598,1250.17
TMX7316010203-001218_pano_0000_003599,1174.36
TMX7316010203-001218_pano_0000_003599,1443.24
TMX7316010203-001476_pano_0006_000367,388.47
TMX7316010203-001218_pano_0000_003228,1005.58
TMX7316010203-001218_pano_0000_003566,1410.0
TMX7316010203-001218_pano_0000_003572,930.29
TMX7316010203-001218_pano_0000_003412,1789.57
TMX7316010203-001218_pano_0000_003412,1275.43
TMX7316010203-001218_pano_0000_003189,909.21
TMX7316010203-001218_pano_0000_002254,1258.53
TMX7316010203-001218_pano_0000_003162,223.56
TMX7316010203-001218_pano_0000_003162,1458.78
TMX7316010203-001218_pano_0000_003604,757.22
TMX7316010203-001218_pano_0000_003604,999.2
TMX7316010203-001615_pano_0000_000100,1453.77
TMX7316010203-001218_pano_0000_003460,758.71
TMX7316010203-001218_pano_0000_003460,961.31
TMX7316010203-001218_pano_0000_003448,1254.4
TMX7316010203-001218_pano_0000_003448,1444.08
TMX7316010203-001615_pano_0000_000088,1480.79
TMX7316010203-001615_pano_0000_000088,1280.79
TMX7316010203-001615_pano_0000_000098,1871.51
TMX7316010203-001218_pano_0000_003467,1587.22
TMX7316010203-001218_pano_0000_003467,1921.36
TMX7316010203-001476_pano_0006_000266,1575.44
TMX7316010203-001476_pano_0006_000267,619.2
TMX7316010203-001476_pano_0006_000267,1173.17
TMX7316010203-001218_pano_0000_003466,1884.72
TMX7316010203-001218_pano_0000_003466,1709.33
TMX7316010203-001615_pano_0000_000099,1569.26
TMX7316010203-001218_pano_0000_003470,815.7
TMX7316010203-001218_pano_0000_003458,1451.36
TMX7316010203-001218_pano_0000_003459,689.26
TMX7316010203-001218_pano_0000_003459,1117.61
TMX7316010203-001218_pano_0000_003642,198.57
TMX7316010203-001218_pano_0000_003642,582.7
TMX7316010203-001615_pano_0000_000097,139.55
TMX7316010203-001615_pano_0000_000097,1281.83
TMX7316010203-001218_pano_0000_003468,1290.9
TMX7316010203-001218_pano_0000_003520,545.23
TMX7316010203-001218_pano_0000_003290,1768.8
TMX7316010203-001218_pano_0000_003521,909.99
TMX7316010203-001218_pano_0000_003482,966.42
TMX7316010203-001218_pano_0000_003482,717.51
TMX7316010203-001476_pano_0006_000268,993.98
TMX7316010203-001476_pano_0006_000268,763.47
TMX7316010203-001218_pano_0000_003455,349.32
TMX7316010203-001218_pano_0000_003469,1059.28
TMX7316010203-001218_pano_0000_003469,792.91
TMX7316010203-001615_pano_0000_000082,1522.4
TMX7316010203-001615_pano_0000_000096,1220.13
TMX7316010203-001218_pano_0000_003643,271.71
TMX7316010203-001218_pano_0000_003641,939.9
TMX7316010203-001218_pano_0000_003641,1735.58
TMX7316010203-001615_pano_0000_000094,440.28
TMX7316010203-001218_pano_0000_003494,959.32
TMX7316010203-001218_pano_0000_003480,1612.7
TMX7316010203-001218_pano_0000_003480,101.14
TMX7316010203-001218_pano_0000_003522,1156.3
TMX7316010203-001218_pano_0000_003522,271.35
TMX7316010203-001218_pano_0000_003481,525.9
TMX7316010203-001218_pano_0000_003481,1151.19
TMX7316010203-001218_pano_0000_003456,1794.34
TMX7316010203-001615_pano_0000_000095,813.84
TMX7316010203-001218_pano_0000_003640,1447.71
TMX7316010203-001218_pano_0000_003640,1165.39
TMX7316010203-001615_pano_0000_000085,409.68
TMX7316010203-001615_pano_0000_000085,167.6
TMX7316010203-001218_pano_0000_003452,1313.71
TMX7316010203-001218_pano_0000_003452,417.58
TMX7316010203-001476_pano_0006_000284,1590.97
TMX7316010203-001218_pano_0000_003491,1509.75
TMX7316010203-001218_pano_0000_003240,1400.14
TMX7316010203-001218_pano_0000_003240,1185.84
TMX7316010203-001218_pano_0000_003526,1383.48
TMX7316010203-001218_pano_0000_003241,1005.98
TMX7316010203-001218_pano_0000_003490,1671.49
TMX7316010203-001218_pano_0000_003490,1891.97
TMX7316010203-001218_pano_0000_003447,1604.89
TMX7316010203-001218_pano_0000_003447,1267.71
TMX7316010203-001476_pano_0006_000285,535.13
TMX7316010203-001476_pano_0006_000285,1235.23
TMX7316010203-001615_pano_0000_000086,1944.56
TMX7316010203-001218_pano_0000_003451,1650.41
TMX7316010203-001218_pano_0000_003451,1971.9
TMX7316010203-001218_pano_0000_003479,1955.66
TMX7316010203-001218_pano_0000_003479,1739.62
TMX7316010203-001218_pano_0000_003492,696.1
TMX7316010203-001218_pano_0000_003492,1206.87
TMX7316010203-001218_pano_0000_003531,833.77
TMX7316010203-001218_pano_0000_003525,1426.65
TMX7316010203-001218_pano_0000_003243,469.32
TMX7316010203-001218_pano_0000_003243,264.46
TMX7316010203-001218_pano_0000_003519,427.42
TMX7316010203-001218_pano_0000_003280,965.84
TMX7316010203-001218_pano_0000_003524,1678.39
TMX7316010203-001218_pano_0000_003242,637.54
TMX7316010203-001218_pano_0000_003242,177.55
TMX7316010203-001218_pano_0000_003530,580.04
TMX7316010203-001218_pano_0000_003493,1038.71
TMX7316010203-001218_pano_0000_003493,785.59
TMX7316010203-001218_pano_0000_003450,1763.26
TMX7316010203-001476_pano_0006_000286,749.98
TMX7316010203-001476_pano_0006_000286,1010.75
TMX7316010203-001218_pano_0000_003444,356.71
TMX7316010203-001615_pano_0000_000087,1622.55
TMX7316010203-001615_pano_0000_000087,1203.04
TMX7316010203-001218_pano_0000_002259,956.97
TMX7316010203-001218_pano_0000_002259,664.88
TMX7316010203-001218_pano_0000_003153,977.78
TMX7316010203-001218_pano_0000_003153,701.04
TMX7316010203-001217_pano_0000_000672,1442.23
TMX7316010203-001218_pano_0000_003190,966.71
