pano_id,center_bbox
TMX7316010203-001218_pano_0000_003367,571.44
TMX7316010203-001253_pano_0000_000453,1308.99
TMX7316010203-001253_pano_0000_000452,1589.15
TMX7316010203-001253_pano_0000_000452,1925.12
TMX7316010203-001218_pano_0000_003362,1934.91
TMX7316010203-001218_pano_0000_003363,1619.42
TMX7316010203-001218_pano_0000_003363,1204.54
TMX7316010203-001218_pano_0000_003361,406.05
TMX7316010203-001218_pano_0000_003361,157.2
TMX7316010203-001218_pano_0000_003349,144.0
TMX7316010203-001218_pano_0000_003349,663.66
TMX7316010203-001253_pano_0000_000454,734.21
TMX7316010203-001253_pano_0000_000454,1054.28
TMX7316010203-001218_pano_0000_003360,372.55
TMX7316010203-001615_pano_0000_000061,392.56
TMX7316010203-001217_pano_0000_003305,375.31
TMX7316010203-001217_pano_0000_003304,576.27
TMX7316010203-001217_pano_0000_003304,951.5
TMX7316010203-001615_pano_0000_000062,448.56
TMX7316010203-001217_pano_0000_003306,1658.63
TMX7316010203-001217_pano_0000_003306,78.52
TMX7316010203-001253_pano_0000_003059,560.14
TMX7316010203-001253_pano_0000_003059,1733.21
TMX7316010203-001253_pano_0000_003058,269.82
TMX7316010203-001253_pano_0000_003058,1943.22
TMX7316010203-001615_pano_0000_000063,970.81
TMX7316010203-001217_pano_0000_003303,889.04
TMX7316010203-001476_pano_0006_000306,354.35
TMX7316010203-001476_pano_0006_000306,1334.69
TMX7316010203-001253_pano_0000_003060,924.0
TMX7316010203-001253_pano_0000_003060,1394.3
TMX7316010203-001253_pano_0000_003061,1191.16
TMX7316010203-001476_pano_0006_000307,634.83
TMX7316010203-001476_pano_0006_000307,967.38
TMX7316010203-001217_pano_0000_003458,1654.62
TMX7316010203-001615_pano_0000_000070,1910.05
TMX7316010203-001615_pano_0000_000064,1263.39
TMX7316010203-001476_pano_0006_000339,1280.84
TMX7316010203-001476_pano_0006_000338,1196.68
TMX7316010203-001615_pano_0000_000065,1302.51
TMX7316010203-001615_pano_0000_000071,1620.53
TMX7316010203-001615_pano_0000_000071,1248.51
TMX7316010203-001218_pano_0000_003332,765.4
TMX7316010203-001218_pano_0000_000571,959.34
TMX7316010203-001217_pano_0000_003293,971.83
TMX7316010203-001217_pano_0000_003293,732.64
TMX7316010203-001217_pano_0000_003286,75.11
TMX7316010203-001253_pano_0000_000229,1859.57
TMX7316010203-001615_pano_0000_000069,391.42
TMX7316010203-001476_pano_0006_000322,1441.67
TMX7316010203-001476_pano_0006_000336,427.13
TMX7316010203-001218_pano_0000_000572,476.98
TMX7316010203-001217_pano_0000_003284,749.33
TMX7316010203-001217_pano_0000_003284,1536.28
TMX7316010203-001217_pano_0000_003285,448.39
TMX7316010203-001217_pano_0000_003285,28.94
TMX7316010203-001217_pano_0000_003285,1963.45
TMX7316010203-001476_pano_0006_000337,682.57
TMX7316010203-001615_pano_0000_000052,1570.81
TMX7316010203-001217_pano_0000_003295,1689.24
TMX7316010203-001217_pano_0000_003295,173.68
TMX7316010203-001217_pano_0000_003294,541.21
TMX7316010203-001217_pano_0000_003294,1177.69
TMX7316010203-001214_pano_0000_004910,1447.41
TMX7316010203-001217_pano_0000_003296,1803.6
TMX7316010203-001217_pano_0000_003296,24.56
TMX7316010203-001217_pano_0000_003283,1307.72
TMX7316010203-001217_pano_0000_003283,988.62
TMX7316010203-001218_pano_0000_003351,1733.27
TMX7316010203-001218_pano_0000_003351,1133.92
TMX7316010203-001253_pano_0000_000465,834.61
TMX7316010203-001253_pano_0000_000465,1066.33
TMX7316010203-001476_pano_0006_000343,128.6
TMX7316010203-001476_pano_0006_000343,434.78
TMX7316010203-001253_pano_0000_000464,696.61
TMX7316010203-001253_pano_0000_000464,1221.64
TMX7316010203-001218_pano_0000_003352,1523.75
TMX7316010203-001218_pano_0000_003352,1271.43
TMX7316010203-001253_pano_0000_000466,866.67
TMX7316010203-001253_pano_0000_000463,1543.37
TMX7316010203-001476_pano_0006_000344,1855.06
TMX7316010203-001476_pano_0006_000345,1567.4
TMX7316010203-001476_pano_0006_000345,1236.71
TMX7316010203-001253_pano_0000_000462,1713.32
TMX7316010203-001253_pano_0000_000462,1947.79
TMX7316010203-001218_pano_0000_003368,224.65
TMX7316010203-001218_pano_0000_003368,1540.2
TMX7316010203-001218_pano_0000_003369,1745.07
TMX7316010203-001218_pano_0000_003350,341.0
TMX7316010203-001218_pano_0000_003364,1300.5
TMX7316010203-001218_pano_0000_003364,1495.5
