pano_id,center_bbox
TMX7316010203-001164_pano_0000_001205,563.18
TMX7316010203-001164_pano_0000_001205,371.03
TMX7316010203-001167_pano_0001_005413,1416.54
TMX7316010203-001167_pano_0001_005413,1762.2
TMX7316010203-001164_pano_0000_001238,1379.65
TMX7316010203-001164_pano_0000_001206,269.84
TMX7316010203-001164_pano_0000_001206,629.04
TMX7316010203-001109_pano_0004_001071,1740.69
TMX7316010203-001167_pano_0001_005439,1567.65
TMX7316010203-001167_pano_0001_005439,1322.89
TMX7316010203-001164_pano_0000_001207,1023.61
TMX7316010203-001164_pano_0000_001207,1940.55
TMX7316010203-001164_pano_0000_001213,568.97
TMX7316010203-001164_pano_0000_002044,473.14
TMX7316010203-001164_pano_0000_001217,1442.3
TMX7316010203-001164_pano_0000_001216,1703.35
TMX7316010203-001164_pano_0000_001216,1396.75
TMX7316010203-001164_pano_0000_002051,996.97
TMX7316010203-001164_pano_0000_002051,1704.35
TMX7316010203-001164_pano_0000_002045,912.24
TMX7316010203-001164_pano_0000_001214,243.3
TMX7316010203-001164_pano_0000_001214,656.93
TMX7316060226-000489_pano_0000_000631,808.85
TMX7316060226-000489_pano_0000_000585,499.21
TMX7316060226-000489_pano_0000_000630,1249.17
TMX7316010203-001164_pano_0000_001215,1166.96
TMX7316010203-001164_pano_0000_001215,1926.14
TMX7316010203-001164_pano_0000_002046,1192.62
TMX7316010203-001152_pano_0000_000141,370.74
TMX7316010203-001164_pano_0000_002052,1226.55
TMX7316010203-001167_pano_0001_003389,1387.88
TMX7316010203-001167_pano_0001_003389,555.58
TMX7316010203-001167_pano_0001_003570,1387.38
TMX7316010203-001167_pano_0001_005459,1576.89
TMX7316010203-001167_pano_0001_005459,1090.31
TMX7316060226-000486_pano_0004_000589,1752.49
TMX7316060226-000486_pano_0004_000588,189.46
TMX7316010203-001167_pano_0001_005470,454.18
TMX7316010203-001167_pano_0001_005458,1534.97
TMX7316010203-001167_pano_0001_005458,1281.82
TMX7316010203-001167_pano_0001_003571,1275.88
TMX7316010203-001167_pano_0001_003571,1578.45
TMX7316010203-001109_pano_0004_001038,1957.63
TMX7316010203-001167_pano_0001_003363,1674.35
TMX7316060226-000489_pano_0000_000640,928.92
TMX7316010203-001167_pano_0001_003361,1201.27
TMX7316060226-000486_pano_0004_000603,1889.34
TMX7316010203-001167_pano_0001_005466,1558.04
TMX7316010203-001167_pano_0001_005472,1558.84
TMX7316010203-001167_pano_0001_005472,1335.33
TMX7316010203-001152_pano_0000_000087,1333.94
TMX7316060226-000486_pano_0004_000574,118.16
TMX7316010203-001167_pano_0001_005498,445.97
TMX7316010203-001167_pano_0001_005498,1427.14
TMX7316010203-001167_pano_0001_005473,1195.4
TMX7316010203-001167_pano_0001_005473,1625.77
TMX7316010203-001167_pano_0001_005467,1263.62
TMX7316010203-001152_pano_0000_000078,328.02
TMX7316060226-000489_pano_0000_000641,698.44
TMX7316010203-001167_pano_0001_005463,468.07
TMX7316010203-001167_pano_0001_005488,1559.59
TMX7316010203-001167_pano_0001_005488,1357.36
TMX7316010203-001167_pano_0001_005489,1613.01
TMX7316010203-001167_pano_0001_005489,1258.98
TMX7316010203-001152_pano_0000_000055,1767.0
TMX7316010203-001167_pano_0001_005476,446.33
TMX7316010203-001167_pano_0001_005462,451.26
TMX7316010203-001167_pano_0001_003417,1565.06
TMX7316060226-000486_pano_0004_000605,1057.18
TMX7316010203-001109_pano_0004_001028,88.87
TMX7316010203-001167_pano_0001_005474,903.96
TMX7316010203-001167_pano_0001_005474,98.01
TMX7316010203-001167_pano_0001_005460,824.87
TMX7316010203-001152_pano_0000_000080,1441.72
TMX7316010203-001152_pano_0000_000081,1389.77
TMX7316010203-001167_pano_0001_005449,1533.79
TMX7316010203-001167_pano_0001_005461,404.97
TMX7316010203-001167_pano_0001_005461,679.89
TMX7316010203-001167_pano_0001_005475,397.14
TMX7316010203-001167_pano_0001_005475,710.45
TMX7316060226-000486_pano_0004_000599,1380.2
TMX7316010203-001152_pano_0000_000056,1585.27
TMX7316010203-001640_pano_0004_000560,1815.97
TMX7316010203-001640_pano_0004_000551,1902.55
TMX7316010203-001167_pano_0001_003419,166.33
TMX7316060226-000486_pano_0004_000184,162.11
TMX7316010203-001167_pano_0001_003394,925.46
TMX7316060226-000486_pano_0004_000594,248.09
TMX7316010203-001152_pano_0000_000073,1443.96
TMX7316010203-001167_pano_0001_005450,1549.61
TMX7316010203-001167_pano_0001_005450,1261.64
TMX7316010203-001167_pano_0001_005444,1571.51
TMX7316010203-001167_pano_0001_005444,1309.88
TMX7316010203-001167_pano_0001_005486,728.65
TMX7316010203-001167_pano_0001_005492,435.57
TMX7316010203-001167_pano_0001_005492,643.61
TMX7316010203-001167_pano_0001_005445,1146.52
TMX7316010203-001152_pano_0000_000066,1550.87
TMX7316010203-001152_pano_0000_000072,1621.54
TMX7316010203-001167_pano_0001_005451,1045.42
TMX7316060226-000486_pano_0004_000581,93.45
TMX7316060226-000486_pano_0000_001219,208.56
TMX7316010203-001167_pano_0001_003418,1668.39
TMX7316010203-001640_pano_0004_000550,232.53
TMX7316010203-001167_pano_0001_003354,1564.22
TMX7316010203-001152_pano_0000_000064,242.0
TMX7316010203-001167_pano_0001_005447,447.07
TMX7316010203-001167_pano_0001_005447,699.77
TMX7316010203-001167_pano_0001_005453,448.1
TMX7316010203-001167_pano_0001_005484,1239.26
TMX7316010203-001167_pano_0001_005484,432.77
TMX7316010203-001167_pano_0001_005490,999.09
TMX7316010203-001167_pano_0001_005490,1887.78
TMX7316010203-001167_pano_0001_005491,746.11
TMX7316010203-001167_pano_0001_005491,363.51
TMX7316010203-001167_pano_0001_005485,976.27
TMX7316010203-001167_pano_0001_005452,324.15
TMX7316010203-001167_pano_0001_005452,795.13
TMX7316010203-001152_pano_0000_000065,1803.21
TMX7316010203-001167_pano_0001_005446,359.94
TMX7316010203-001167_pano_0001_005446,867.47
TMX7316060226-000486_pano_0004_000596,1442.23
TMX7316010203-001109_pano_0004_001026,1281.41
TMX7316060226-000486_pano_0004_000828,735.84
TMX7316010203-001167_pano_0001_003392,379.29
TMX7316010203-001167_pano_0001_005442,436.92
TMX7316060226-000486_pano_0000_001168,1525.28
TMX7316010203-001167_pano_0001_005481,1575.02
TMX7316010203-001167_pano_0001_005495,1605.32
TMX7316010203-001167_pano_0001_005495,1242.68
TMX7316010203-001167_pano_0001_005494,1554.22
TMX7316010203-001167_pano_0001_005494,1352.53
TMX7316010203-001167_pano_0001_005319,1513.7
TMX7316010203-001167_pano_0001_005443,462.3
TMX7316010203-001167_pano_0001_003393,1267.52
TMX7316010203-001167_pano_0001_003393,417.86
TMX7316060226-000486_pano_0004_000829,1190.11
TMX7316010203-001640_pano_0004_000556,157.65
TMX7316010203-001167_pano_0001_003420,389.32
TMX7316010203-001167_pano_0001_003583,654.89
TMX7316010203-001152_pano_0000_000062,1673.72
TMX7316010203-001167_pano_0001_005441,881.37
TMX7316010203-001167_pano_0001_005441,309.52
TMX7316010203-001167_pano_0001_005469,423.32
TMX7316010203-001167_pano_0001_005469,768.98
TMX7316010203-001167_pano_0001_005496,980.24
TMX7316010203-001167_pano_0001_005483,330.22
TMX7316010203-001167_pano_0001_005497,742.8
TMX7316010203-001167_pano_0001_005497,385.75
TMX7316010203-001167_pano_0001_005468,243.85
TMX7316010203-001167_pano_0001_005468,1030.14
TMX7316010203-001152_pano_0000_000063,1529.44
TMX7316010203-001167_pano_0001_005440,1163.11
TMX7316010203-001167_pano_0001_005454,467.93
TMX7316060226-000486_pano_0004_000625,918.23
TMX7316060226-000486_pano_0000_001220,1857.13
TMX7316010203-001640_pano_0004_000532,1801.73
TMX7316010203-001167_pano_0001_005433,1577.67
TMX7316010203-001167_pano_0001_005433,443.02
TMX7316010203-001167_pano_0001_005432,379.85
TMX7316010203-001167_pano_0001_005432,771.94
TMX7316010203-001109_pano_0004_001052,1974.34
TMX7316010203-001167_pano_0001_003651,1251.39
TMX7316010203-001164_pano_0000_001233,326.58
TMX7316010203-001640_pano_0004_000525,473.84
TMX7316010203-001167_pano_0001_005430,1631.96
TMX7316010203-001167_pano_0001_005430,1287.65
TMX7316010203-001167_pano_0001_005431,1054.91
TMX7316010203-001167_pano_0001_005419,258.94
TMX7316010203-001167_pano_0001_005419,534.77
TMX7316010203-001109_pano_0004_001092,1332.25
TMX7316060226-000486_pano_0004_000640,881.66
TMX7316010203-001164_pano_0000_001226,646.43
TMX7316010203-001164_pano_0000_001232,1636.96
TMX7316010203-001164_pano_0000_001236,738.34
TMX7316010203-001164_pano_0000_001236,1739.94
TMX7316010203-001167_pano_0001_005421,1758.07
TMX7316010203-001167_pano_0001_005421,763.51
TMX7316010203-001167_pano_0001_005435,284.44
TMX7316010203-001167_pano_0001_005435,1026.01
TMX7316010203-001167_pano_0001_005434,1268.37
TMX7316010203-001164_pano_0000_001237,1177.45
TMX7316010203-001164_pano_0000_001209,1439.96
TMX7316010203-001164_pano_0000_001235,604.97
TMX7316010203-001164_pano_0000_001235,1936.12
TMX7316010203-001167_pano_0001_005436,764.48
TMX7316010203-001167_pano_0001_005436,429.75
TMX7316060226-000489_pano_0000_000639,1306.52
TMX7316010203-001164_pano_0000_001208,1711.7
TMX7316010203-001164_pano_0000_001208,1382.21
TMX7316010203-001167_pano_0001_003654,1614.54
TMX7316010203-001167_pano_0001_003654,403.11
TMX7316010203-001164_pano_0000_001234,203.5
TMX7316010203-001167_pano_0001_003356,1891.5
TMX7316010203-001167_pano_0001_003362,1570.5
TMX7316010203-001167_pano_0001_005420,53.5
TMX7316010203-001167_pano_0001_005420,559.5
TMX7316010203-001167_pano_0001_005422,894.5
TMX7316010203-001167_pano_0001_005422,1397.5
TMX7316010203-001167_pano_0001_003357,331.5
TMX7316010203-001167_pano_0001_003358,404.0
TMX7316010203-001167_pano_0001_005424,468.0
TMX7316010203-001167_pano_0001_003413,364.0
TMX7316010203-001167_pano_0001_003364,218.0
TMX7316010203-001167_pano_0001_003365,457.0
TMX7316010203-001167_pano_0001_003414,550.0
TMX7316010203-001167_pano_0001_005272,435.5
TMX7316010203-001167_pano_0001_005423,864.0
TMX7316010203-001167_pano_0001_005304,291.5
TMX7316010203-001167_pano_0001_003355,1623.0
