pano_id,center_bbox
TMX7316010203-001187_pano_0000_002163,173.31
TMX7316010203-001512_pano_0000_000902,1818.7
TMX7316010203-001174_pano_0000_000990,765.27
TMX7316010203-001552_pano_0001_000891,463.36
TMX7316010203-001530_pano_0003_000386,375.14
TMX7316010203-001552_pano_0001_000885,818.85
TMX7316010203-001174_pano_0000_000984,453.7
TMX7316010203-001623_pano_0007_000952,803.84
TMX7316010203-001299_pano_0000_002179,816.41
TMX7316010203-001544_pano_0001_000406,557.91
TMX7316010203-001623_pano_0007_001090,659.14
TMX7316010203-001623_pano_0007_001091,321.61
TMX7316010203-001544_pano_0001_000407,802.99
TMX7316010203-001643_pano_0002_000306,1283.25
TMX7316010203-001299_pano_0000_002178,744.31
TMX7316010203-001547_pano_0000_000314,523.24
TMX7316010203-001552_pano_0001_000884,421.19
TMX7316010203-001174_pano_0000_000985,862.11
TMX7316010203-001174_pano_0000_000991,1043.83
TMX7316010203-001549_pano_0000_000174,792.2
TMX7316010203-001182_pano_0000_000614,820.75
TMX7316010203-001182_pano_0000_000616,131.42
TMX7316010203-001299_pano_0000_001063,693.92
TMX7316010203-001512_pano_0001_000170,280.36
TMX7316010203-001512_pano_0001_000158,590.39
TMX7316010203-001512_pano_0000_000915,264.25
TMX7316010203-001552_pano_0001_000886,1153.89
TMX7316010203-001552_pano_0001_000892,693.79
TMX7316010203-001530_pano_0003_000385,170.8
TMX7316010203-001174_pano_0000_000978,1119.39
TMX7316010203-001623_pano_0007_000951,779.29
TMX7316010203-001178_pano_0000_000208,708.56
TMX7316010203-001643_pano_0000_000004,160.35
TMX7316010203-001178_pano_0001_006239,1631.42
TMX7316010203-001549_pano_0000_000228,888.6
TMX7316010203-001549_pano_0000_000200,680.44
TMX7316010203-001623_pano_0007_001092,100.25
TMX7316010203-001549_pano_0000_000229,809.43
TMX7316010203-001513_pano_0002_000137,645.37
TMX7316010203-001299_pano_0000_002184,240.82
TMX7316010203-001530_pano_0003_000384,1769.62
TMX7316010203-001552_pano_0001_000893,1031.4
TMX7316010203-001552_pano_0001_000887,1214.76
TMX7316010203-001623_pano_0007_000763,1796.77
TMX7316010203-001512_pano_0000_000243,509.0
TMX7316010203-001512_pano_0001_000171,551.16
TMX7316010203-001299_pano_0000_001062,1086.79
TMX7316010203-001299_pano_0000_000340,1460.46
TMX7316010203-001182_pano_0000_000617,548.74
TMX7316010203-001174_pano_0000_003051,1714.51
TMX7316010203-001174_pano_0000_003051,1593.83
TMX7316010203-001623_pano_0007_001109,242.35
TMX7316010203-001299_pano_0000_003842,90.16
TMX7316010203-001512_pano_0001_000175,981.59
TMX7316010203-001549_pano_0000_000167,896.23
TMX7316010203-001552_pano_0001_000883,343.17
TMX7316010203-001552_pano_0001_000883,1178.23
TMX7316010203-001512_pano_0000_000092,605.64
TMX7316010203-001530_pano_0003_000380,1746.96
TMX7316010203-001549_pano_0000_000173,836.54
TMX7316010203-001623_pano_0007_000798,1155.4
TMX7316010203-001549_pano_0000_000198,945.15
TMX7316010203-001547_pano_0000_000313,1600.5
TMX7316010203-001547_pano_0000_000313,1757.97
TMX7316010203-001642_pano_0000_000698,1532.35
TMX7316010203-001299_pano_0000_002180,1200.1
TMX7316010203-001623_pano_0007_001069,50.9
TMX7316010203-001549_pano_0000_000211,751.24
TMX7316010203-001544_pano_0001_000372,828.01
TMX7316010203-001549_pano_0000_000239,1420.5
TMX7316010203-001623_pano_0007_000389,811.39
TMX7316010203-001549_pano_0000_000238,876.67
TMX7316010203-001549_pano_0000_000238,1648.26
TMX7316010203-001544_pano_0001_000373,1144.5
TMX7316010203-001549_pano_0000_000204,1556.91
TMX7316010203-001623_pano_0007_001068,228.68
TMX7316010203-001549_pano_0000_000210,1115.97
TMX7316010203-001549_pano_0000_000210,457.06
TMX7316010203-001299_pano_0000_002181,1558.88
TMX7316010203-001512_pano_0001_000216,1245.85
TMX7316010203-001642_pano_0000_000699,1761.42
TMX7316010203-001178_pano_0001_006229,1615.49
TMX7316010203-001547_pano_0000_000306,1521.02
TMX7316010203-001547_pano_0000_000306,1714.58
TMX7316010203-001549_pano_0000_000199,720.69
TMX7316010203-001623_pano_0007_000799,947.02
TMX7316010203-001547_pano_0000_000299,1715.07
TMX7316010203-001547_pano_0000_000299,1506.77
TMX7316010203-001187_pano_0000_002164,348.12
TMX7316010203-001549_pano_0000_000172,1137.5
TMX7316010203-001530_pano_0003_000381,137.18
TMX7316010203-001552_pano_0001_000882,1098.68
TMX7316010203-001623_pano_0007_000766,617.74
TMX7316010203-001512_pano_0001_000174,1233.89
TMX7316010203-001299_pano_0000_001067,485.04
TMX7316010203-001623_pano_0007_001108,628.06
TMX7316010203-001174_pano_0000_003044,1711.98
TMX7316010203-001174_pano_0000_003044,1609.75
TMX7316010203-001178_pano_0000_000185,538.31
TMX7316010203-001181_pano_0000_003248,1881.66
TMX7316010203-001512_pano_0000_000244,598.46
TMX7316010203-001299_pano_0000_003869,860.46
TMX7316010203-001299_pano_0000_003841,243.12
TMX7316010203-001549_pano_0000_000170,1693.43
TMX7316010203-001174_pano_0000_000995,573.5
TMX7316010203-001552_pano_0001_000880,435.87
TMX7316010203-001299_pano_0000_002183,433.37
TMX7316010203-001549_pano_0000_000206,849.82
TMX7316010203-001544_pano_0001_000371,551.66
TMX7316010203-001549_pano_0000_000212,691.3
TMX7316010203-001623_pano_0007_000407,804.32
TMX7316010203-001549_pano_0000_000207,707.81
TMX7316010203-001513_pano_0002_000119,803.94
TMX7316010203-001552_pano_0001_000881,754.66
TMX7316010203-001623_pano_0007_000765,545.89
TMX7316010203-001549_pano_0000_000165,1679.92
TMX7316010203-001549_pano_0000_000171,1645.43
TMX7316010203-001530_pano_0003_000382,380.25
TMX7316010203-001512_pano_0001_000163,1068.2
TMX7316010203-001299_pano_0000_003840,525.55
TMX7316010203-001181_pano_0000_003249,210.76
TMX7316010203-001299_pano_0000_003628,565.33
TMX7316010203-001299_pano_0000_003614,521.89
TMX7316010203-001623_pano_0007_000514,1528.38
TMX7316010203-001174_pano_0000_000703,1638.61
TMX7316010203-001549_pano_0000_000116,1642.44
TMX7316010203-001299_pano_0000_002091,222.05
TMX7316010203-001183_pano_0000_000206,330.86
TMX7316010203-001178_pano_0001_006305,1770.89
TMX7316010203-001643_pano_0002_000172,1752.94
TMX7316010203-001512_pano_0000_001510,796.14
TMX7316010203-001512_pano_0001_000266,178.86
TMX7316010203-001512_pano_0001_000272,459.09
TMX7316010203-001178_pano_0001_006259,1635.01
TMX7316010203-001299_pano_0000_001611,73.18
TMX7316010203-001623_pano_0007_000474,73.13
TMX7316010203-001187_pano_0000_001964,225.99
