pano_id,center_bbox
TMX7316010203-001500_pano_0000_000899,1948.84
TMX7316010203-001518_pano_0000_011549,344.21
TMX7316010203-001179_pano_0000_002130,510.09
TMX7316010203-001178_pano_0001_006164,795.0
TMX7316010203-001129_pano_0000_001544,1285.09
TMX7316010203-001540_pano_0000_001067,717.48
TMX7316010203-001540_pano_0000_001067,1715.49
TMX7316010203-001500_pano_0000_000872,19.42
TMX7316010203-001540_pano_0000_001073,1180.2
TMX7316010203-001594_pano_0002_000012,366.73
TMX7316010203-001551_pano_0000_001052,625.23
TMX7316010203-001540_pano_0000_000806,1868.05
TMX7316060226-000473_pano_0000_002213,1178.3
TMX7316010203-001540_pano_0000_000812,264.25
TMX7316010203-001540_pano_0000_000621,634.28
TMX7316010203-001134_pano_0000_000502,551.77
TMX7316010203-001540_pano_0000_000782,1707.94
TMX7316060226-000463_pano_0000_003366,323.23
TMX7316010203-001518_pano_0000_011617,1244.66
TMX7316010203-001540_pano_0000_000755,158.89
TMX7316010203-001178_pano_0001_006206,952.85
TMX7316010203-001540_pano_0000_000999,1145.29
TMX7316010203-001540_pano_0000_000741,246.72
TMX7316010203-001178_pano_0001_006212,785.75
TMX7316010203-001543_pano_0000_001240,203.79
TMX7316010203-001178_pano_0001_000893,1091.15
TMX7316010203-001178_pano_0001_000887,747.92
TMX7316010203-001540_pano_0000_000594,462.08
TMX7316060226-000463_pano_0001_000005,1152.51
TMX7316060226-000463_pano_0001_000011,452.19
TMX7316010203-001179_pano_0000_004435,649.92
TMX7316010203-001178_pano_0001_004175,1432.3
TMX7316010203-001127_pano_0000_000348,23.98
TMX7316060226-000463_pano_0000_003819,1707.45
TMX7316010203-001179_pano_0000_004384,1450.62
TMX7316010203-001598_pano_0000_000309,1789.03
TMX7316010203-001129_pano_0000_001343,678.58
TMX7316010203-001598_pano_0000_000308,1238.04
TMX7316010203-001540_pano_0000_001112,706.93
TMX7316010203-001127_pano_0000_000407,26.77
TMX7316010203-001179_pano_0000_004385,1723.56
TMX7316010203-001129_pano_0000_001357,850.59
TMX7316010203-001178_pano_0001_004160,277.31
TMX7316060226-000463_pano_0001_000010,1966.74
TMX7316010203-001179_pano_0000_004434,881.35
TMX7316060226-000469_pano_0000_000043,998.55
TMX7316010203-001540_pano_0000_000768,1688.94
TMX7316010203-001543_pano_0000_001241,405.38
TMX7316010203-001540_pano_0000_000740,1898.33
TMX7316010203-001178_pano_0001_000662,1411.11
TMX7316010203-001540_pano_0000_000998,873.73
TMX7316060226-000463_pano_0000_003398,1403.87
TMX7316010203-001178_pano_0001_006207,801.42
TMX7316010203-001540_pano_0000_000754,1686.14
TMX7316010203-001540_pano_0000_000754,358.4
TMX7316010203-001518_pano_0000_011616,1508.02
TMX7316010203-001597_pano_0000_000450,1394.86
TMX7316010203-001540_pano_0000_000783,51.02
TMX7316010203-001134_pano_0000_000503,675.53
TMX7316010203-001551_pano_0000_001084,1243.53
TMX7316010203-001540_pano_0000_000620,285.17
TMX7316010203-001540_pano_0000_000807,228.37
TMX7316010203-001551_pano_0000_001053,847.7
TMX7316060226-000473_pano_0000_003124,796.38
TMX7316010203-001178_pano_0001_006159,794.97
TMX7316010203-001540_pano_0000_001072,721.68
TMX7316010203-001540_pano_0000_001066,533.23
TMX7316010203-001135_pano_0000_001292,1229.13
TMX7316010203-001178_pano_0001_006165,1676.07
TMX7316010203-001178_pano_0001_006171,1614.99
TMX7316010203-001500_pano_0000_000898,1552.39
TMX7316010203-001135_pano_0000_001521,653.9
TMX7316010203-001179_pano_0000_004230,139.78
TMX7316060226-000463_pano_0000_003013,384.14
TMX7316010203-001179_pano_0000_002127,1170.55
TMX7316010203-001178_pano_0001_006167,1035.93
TMX7316010203-001178_pano_0001_006173,857.31
TMX7316010203-001500_pano_0000_000871,1777.84
TMX7316010203-001594_pano_0002_000011,235.09
TMX7316010203-001134_pano_0000_000059,780.65
TMX7316010203-001135_pano_0000_001290,886.22
TMX7316010203-001500_pano_0000_000865,22.46
TMX7316010203-001540_pano_0000_001064,1242.78
TMX7316010203-001594_pano_0002_000005,463.96
TMX7316010203-001540_pano_0000_000193,1937.76
TMX7316060226-000473_pano_0000_003126,1705.93
TMX7316060226-000473_pano_0000_002238,772.6
TMX7316010203-001540_pano_0000_000811,64.26
TMX7316010203-001518_pano_0000_011006,1499.34
TMX7316010203-001540_pano_0000_000622,955.85
TMX7316010203-001518_pano_0000_011614,746.19
TMX7316010203-001178_pano_0001_006211,860.33
TMX7316010203-001540_pano_0000_000756,274.28
TMX7316010203-001594_pano_0003_000069,1216.58
TMX7316010203-001179_pano_0000_004378,1689.56
TMX7316010203-001179_pano_0000_004436,391.33
TMX7316060226-000473_pano_0000_002166,1324.39
TMX7316060226-000463_pano_0001_000012,788.14
TMX7316060226-000463_pano_0001_000006,899.79
TMX7316010203-001551_pano_0000_000788,1161.2
TMX7316060226-000463_pano_0000_003198,477.1
TMX7316010203-001500_pano_0000_000905,1715.63
TMX7316010203-001127_pano_0000_000411,1188.7
TMX7316010203-001179_pano_0000_004393,733.08
TMX7316010203-001129_pano_0000_001355,1962.73
TMX7316010203-001179_pano_0000_004387,511.54
TMX7316010203-001500_pano_0000_000911,1766.21
TMX7316010203-001500_pano_0000_000910,1348.91
TMX7316010203-001540_pano_0000_001111,540.74
TMX7316010203-001500_pano_0000_000904,1299.18
TMX7316010203-001594_pano_0003_000242,1625.78
TMX7316010203-001132_pano_0001_000992,592.66
TMX7316060226-000473_pano_0004_000043,1416.37
TMX7316010203-001551_pano_0000_000789,1281.27
TMX7316010203-001134_pano_0000_002707,1789.82
TMX7316010203-001594_pano_0003_000256,1627.56
TMX7316060226-000463_pano_0001_000007,707.49
TMX7316060226-000473_pano_0000_002167,1056.51
TMX7316060226-000473_pano_0000_002167,295.65
TMX7316010203-001179_pano_0000_004437,1195.93
TMX7316060226-000463_pano_0001_000013,851.19
TMX7316010203-001178_pano_0001_006204,1676.34
TMX7316010203-001178_pano_0001_001580,1671.65
TMX7316010203-001518_pano_0000_011615,860.07
TMX7316010203-001518_pano_0000_011615,1702.24
TMX7316010203-001594_pano_0003_000083,1714.25
TMX7316010203-001540_pano_0000_000794,172.89
TMX7316010203-001596_pano_0000_000427,50.12
TMX7316010203-001540_pano_0000_000623,1027.09
TMX7316010203-001134_pano_0000_000500,1317.57
TMX7316010203-001540_pano_0000_000810,1544.25
TMX7316060226-000473_pano_0000_002577,920.21
TMX7316060226-000473_pano_0000_002211,446.83
TMX7316060226-000473_pano_0000_002239,1239.12
TMX7316010203-001551_pano_0000_001044,961.97
TMX7316010203-001135_pano_0000_001291,1129.93
TMX7316010203-001594_pano_0002_000004,201.39
TMX7316010203-001594_pano_0002_000004,1083.96
TMX7316010203-001500_pano_0000_000864,1719.0
TMX7316010203-001134_pano_0000_002129,665.59
